query_id,query
1,Bankruptcy
2,Bankruptcy and debt
3,Debt
4,Credit
5,Chapter 7 bankruptcy
6,Lawsuits and disputes
7,Lien
8,Divorce
9,Dividing debts in a divorce
10,Divorce and bankruptcy
11,Business contracts
12,Bankruptcy petition
13,Bankruptcy documents
14,Bankruptcy court
15,Chapter 13 bankruptcy reorganization plan
16,Chapter 13 bankruptcy
17,Real estate and bankruptcy
18,Real estate
19,Fraud
20,Debt discharge
21,Tax law
22,Business
23,Default judgment
24,Chapter 7 bankruptcy means test
25,Community property in divorce
26,Child support
27,Family law
28,Nondischargeable debt and student loans
29,Filing a lawsuit
30,Foreclosure
31,Wage garnishment
32,Criminal defense
33,Debt relief
34,Sued for debt
35,Divorce and family
36,Automatic stays in bankruptcy
37,Debt settlement
38,Secured debt
39,Estates
40,LLC (limited liability company)
41,Fees
42,Social security
43,Bankruptcy estate
44,Unsecured debt
45,Probate
46,Credit score
47,Court orders
48,Bankruptcy adversary proceeding
49,Employment
50,Summons and complaint
51,Car loan
52,Representing yourself
53,State
54,local
55,and municipal law
56,Alimony
57,Nondischargeable debt and alimony
58,341 meeting of creditors
59,Appeals
60,Judgment lien
61,Marriage
62,Bankruptcy trustee
63,Bankruptcy exemptions
64,Tax return
65,Small claims court
66,Unemployment compensation
67,Residential property
68,Car Accidents
69,State court
70,Bankruptcy homestead exemption
71,Immigration
72,Spousal debt
73,Civil rights
74,Homeowners' association
75,Consumer protection
76,Legal separation and divorce
77,Alternatives to divorce
78,Wills
79,Trusts
80,Wills and estates
81,Child custody
82,Bankruptcy proof of claim
83,Mortgage debt
84,Chapter 13 bankruptcy repayment plan
85,Inheritance rights
86,Real estate finances
87,Short sales
88,Debt collection for businesses
89,Small business taxes
90,Criminal charges for theft
91,Taxes and estate planning
92,Executor of will
93,Bankruptcy liquidation
94,Liquidating business assets
95,Divorce court
96,Consumer debt
97,Types of personal injuries
98,Business debt
99,Credit repair
100,Discovery
101,Criminal arrest
102,General Practice
103,Victim compensation and criminal conviction
104,Chapter 7 bankruptcy for businesses
105,Estate property
106,Probate court
107,Working with a lawyer
108,Reaffirmation of debt and bankruptcy
109,Debt negotiation
110,Sole proprietorship
111,Business insurance
112,Landlord or tenant
113,Motions
114,Child support and custody
115,Criminal charges for harassment
116,Chapter 13 bankruptcy for businesses
117,Mortgage lien
118,Home mortgage
119,Credit counseling
120,Subpoena
121,Bank accounts in divorce
122,Business partnerships
123,Mediation
124,DUI
125,Prenuptial agreement
126,Creditor harassment
127,Cosigners and bankruptcy
128,Intestacy and probate
129,Criminal charges for identity theft
130,Court basics
131,Immigrant status
